Date,Open
2009-07-08,4.854286
2009-07-09,4.92
2009-07-10,4.869286
2009-07-13,4.983571
2009-07-14,5.0725
2009-07-15,5.18
2009-07-16,5.205714
2009-07-17,5.324286
2009-07-20,5.473929
2009-07-21,5.474643
2009-07-22,5.635357
2009-07-23,5.593929
2009-07-24,5.605357
2009-07-27,5.720357
2009-07-28,5.674286
2009-07-29,5.675
2009-07-30,5.775
2009-07-31,5.821071
2009-08-03,5.900357
2009-08-04,5.890357
2009-08-05,5.919643
2009-08-06,5.913571
2009-08-07,5.910357
2009-08-10,5.916429
2009-08-11,5.846071
2009-08-12,5.805357
2009-08-13,5.951786
2009-08-14,5.997857
2009-08-17,5.841071
2009-08-18,5.7725
2009-08-19,5.8125
2009-08-20,5.892143
2009-08-21,5.9875
2009-08-24,6.075714
2009-08-25,6.052143
2009-08-26,6.032857
2009-08-27,6.026786
2009-08-28,6.1525
2009-08-31,6.005714
2009-09-01,5.999643
2009-09-02,5.879286
2009-09-03,5.944286
2009-09-04,5.974286
2009-09-08,6.177857
2009-09-09,6.170714
2009-09-10,6.145
2009-09-11,6.175357
2009-09-14,6.101071
2009-09-15,6.215714
2009-09-16,6.356786
2009-09-17,6.499286
2009-09-18,6.636786
2009-09-21,6.581786
2009-09-22,6.613929
2009-09-23,6.621429
2009-09-24,6.685714
2009-09-25,6.500357
2009-09-28,6.566786
2009-09-29,6.668929
2009-09-30,6.6475
2009-10-01,6.619643
2009-10-02,6.478929
2009-10-05,6.65
2009-10-06,6.705
2009-10-07,6.777143
2009-10-08,6.809286
2009-10-09,6.748929
2009-10-12,6.822143
2009-10-13,6.808214
2009-10-14,6.866071
2009-10-15,6.7725
2009-10-16,6.7625
2009-10-19,6.708929
2009-10-20,7.164286
2009-10-21,7.125714
2009-10-22,7.310714
2009-10-23,7.346429
2009-10-26,7.273929
2009-10-27,7.202143
2009-10-28,7.061071
2009-10-29,6.964286
2009-10-30,7.002143
2009-11-02,6.778571
2009-11-03,6.708929
2009-11-04,6.811786
2009-11-05,6.871429
2009-11-06,6.875357
2009-11-09,7.033571
2009-11-10,7.179286
2009-11-11,7.305714
2009-11-12,7.255
2009-11-13,7.245357
2009-11-16,7.338571
2009-11-17,7.36
2009-11-18,7.376429
2009-11-19,7.3075
2009-11-20,7.1125
2009-11-23,7.25
2009-11-24,7.333214
2009-11-25,7.335714
2009-11-27,7.115
2009-11-30,7.1825
2009-12-01,7.222857
2009-12-02,7.105714
2009-12-03,7.050714
2009-12-04,7.132143
2009-12-07,6.904286
2009-12-08,6.762857
2009-12-09,6.831429
2009-12-10,7.125
2009-12-11,7.063571
2009-12-14,6.9775
2009-12-15,6.993929
2009-12-16,6.967857
2009-12-17,6.937857
2009-12-18,6.898929
2009-12-21,7.001786
2009-12-22,7.122857
2009-12-23,7.185714
2009-12-24,7.269643
2009-12-28,7.561429
2009-12-29,7.593929
2009-12-30,7.458214
2009-12-31,7.611786
2010-01-04,7.6225
2010-01-05,7.664286
2010-01-06,7.656429
2010-01-07,7.5625
2010-01-08,7.510714
2010-01-11,7.6
2010-01-12,7.471071
2010-01-13,7.423929
2010-01-14,7.503929
2010-01-15,7.533214
2010-01-19,7.440357
2010-01-20,7.675357
2010-01-21,7.574286
2010-01-22,7.385
2010-01-25,7.2325
2010-01-26,7.355357
2010-01-27,7.3875
2010-01-28,7.318929
2010-01-29,7.181429
2010-02-01,6.870357
2010-02-02,6.996786
2010-02-03,6.970357
2010-02-04,7.026071
2010-02-05,6.879643
2010-02-08,6.988929
2010-02-09,7.015
2010-02-10,6.996071
2010-02-11,6.96
2010-02-12,7.075357
2010-02-16,7.212143
2010-02-17,7.2925
2010-02-18,7.201071
2010-02-19,7.209286
2010-02-22,7.226429
2010-02-23,7.142857
2010-02-24,7.079643
2010-02-25,7.049286
2010-02-26,7.227857
2010-03-01,7.348214
2010-03-02,7.4975
2010-03-03,7.462143
2010-03-04,7.474286
2010-03-05,7.676429
2010-03-08,7.8575
2010-03-09,7.796786
2010-03-10,7.993929
2010-03-11,7.996786
2010-03-12,8.120357
2010-03-15,8.049286
2010-03-16,8.006429
2010-03-17,8.032143
2010-03-18,8.003571
2010-03-19,8.028214
2010-03-22,7.873929
2010-03-23,8.058571
2010-03-24,8.13
2010-03-25,8.247143
2010-03-26,8.176786
2010-03-29,8.321429
2010-03-30,8.45
2010-03-31,8.410357
2010-04-01,8.478929
2010-04-05,8.392143
2010-04-06,8.507143
2010-04-07,8.555357
2010-04-08,8.587143
2010-04-09,8.6225
2010-04-12,8.65
2010-04-13,8.637857
2010-04-14,8.76
2010-04-15,8.777857
2010-04-16,8.8775
2010-04-19,8.8225
2010-04-20,8.876429
2010-04-21,9.242857
2010-04-22,9.222857
2010-04-23,9.571071
2010-04-26,9.71
2010-04-27,9.545357
2010-04-28,9.401786
2010-04-29,9.393571
2010-04-30,9.618214
2010-05-03,9.422857
2010-05-04,9.388929
2010-05-05,9.036786
2010-05-06,9.065357
2010-05-07,8.703929
2010-05-10,8.9375
2010-05-11,8.994286
2010-05-12,9.258571
2010-05-13,9.400714
2010-05-14,9.112857
2010-05-17,9.096429
2010-05-18,9.177857
2010-05-19,8.910714
2010-05-20,8.638571
2010-05-21,8.315
2010-05-24,8.831429
2010-05-25,8.548214
2010-05-26,8.931429
2010-05-27,8.95
2010-05-28,9.263929
2010-06-01,9.274643
2010-06-02,9.447857
2010-06-03,9.470714
2010-06-04,9.221786
2010-06-07,9.224643
2010-06-08,9.044286
2010-06-09,8.981071
2010-06-10,8.744286
2010-06-11,8.865357
2010-06-14,9.141429
2010-06-15,9.13
2010-06-16,9.325
2010-06-17,9.664286
2010-06-18,9.723214
2010-06-21,9.9175
2010-06-22,9.72
2010-06-23,9.806429
2010-06-24,9.678571
2010-06-25,9.645
2010-06-28,9.533214
2010-06-29,9.432857
2010-06-30,9.168214
2010-07-01,9.082143
2010-07-02,8.946071
2010-07-06,8.964286
2010-07-07,8.946071
2010-07-08,9.374286
2010-07-09,9.174643
2010-07-12,9.233214
2010-07-13,9.154286
2010-07-14,8.906429
2010-07-15,8.865357
2010-07-16,9.042143
2010-07-19,8.924286
2010-07-20,8.675
2010-07-21,9.4675
2010-07-22,9.202857
2010-07-23,9.181786
2010-07-26,9.285714
2010-07-27,9.316786
2010-07-28,9.416786
2010-07-29,9.311071
